Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114753247879.0,I Agree,Male,25-39 years,Information Technology,Poor,I’m just there,"I work monday to friday but due to being alone at the station I cannot have personal time during weekends.There is no difference,it is just like working from home",Work/job related stressors,,,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Somewhat often,Somewhat often,No,No,No,No,I don't remember,Few years ago,Once in a while,Few weeks ago,7 - 9,OK,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Pamphlets and nuggets,,Yes,No,Lack of awareness,Yes
114753235707.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,,,Anxiety and Depression,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,No
114753218456.0,I Agree,Male,25-39 years,Finance,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Once in a while,Few days ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,I find an objective to achieve,No support or potential support is available from either family or friends,Yes,One on One session,,Yes,No,I don't have the reasons to seek those services,Yes
114753211131.0,I Agree,Female,40-49 years,Flight Operations,Fair,I’m just there,"Currently lost a relative, ",Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Yes,No,Somewhat often,Very often,No,No,No,Yes,Few years ago,Few years ago,About half the time,Few weeks ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,No,I haven't felt that I needed external help for my anxiety ,Yes
114753155853.0,I Agree,Female,40-49 years,Managing Director's Office,Excellent,I am OK and coping well,none,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,Have not experienced a situation that calls for professional assistance,No
114753154378.0,I Agree,Male,18-24 years,Flight Operations,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,No,,,No
114753121058.0,I Agree,Female,40-49 years,Human Resources,Fair,I’m just there,i will do it by myself,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Yes,Yes,Somewhat often,Very often,No,Yes,No,Yes,Few months ago,Few years ago,Once in a while,Few years ago,4 - 6,Not Sure,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Group session,,Yes,Yes,,No
114753115828.0,I Agree,Male,40-49 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,About half the time,Few months ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,NEVER HAD A NEED TO ACCESS THE SERVICE,No
114753115096.0,I Agree,Male,25-39 years,Ground Operations,Excellent,I am OK and coping well,,Work/job related stressors,,,Trauma,Substance and Drug Dependence,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,I don't remember,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,I work out,Average degree of social support from family and friends is given or potentially available.,No,Online,,No,,,No
114753111828.0,I Agree,Female,18-24 years,Commercial,Fair,I’m just there,,Work/job related stressors,,,,,,,,,No,No,Not so often,Not so often,No,No,No,Yes,I don't remember,I don't remember,Once in a while,I don't remember,4 - 6,Very Good,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114753112437.0,I Agree,Male,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114753076332.0,I Agree,Female,18-24 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752903655.0,I Agree,Female,18-24 years,Flight Operations,Good,I’m just there,,,,,Trauma,,,,,,No,No,Not at all,Not at all,No,Yes,No,Not Sure,I don't remember,I don't remember,Once in a while,I don't remember,4 - 6,OK,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,Yes,No,,Yes
114752863385.0,I Agree,Female,40-49 years,Managing Director's Office,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,No,No,Very often,Not at all,No,No,No,No,I don't remember,Few days ago,Always,Few months ago,7 - 9,Good,Never,Never,,,,,,,,,,
114752852950.0,I Agree,Female,40-49 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few weeks ago,Most of the time,Few weeks ago,7 - 9,OK,Never,Never,I seek help from my religious leader,,Average degree of social support from family and friends is given or potentially available.,No,Online,,No,,,No
114752848393.0,I Agree,Male,50+ years,Ground Operations,Fair,I’m just there,No,,Emotional intelligence,Financial constraints,Trauma,,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Not Sure,Few days ago,Few days ago,About half the time,Few weeks ago,4 - 6,OK,Never,Never,I engage relatives and friends,No,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,Yes,,No
114752833553.0,I Agree,Female,25-39 years,Flight Operations,Fair,I’m just there,,,Emotional intelligence,,,,,,,,Yes,No,Somewhat often,Not so often,No,No,Yes,Yes,Few days ago,Few weeks ago,About half the time,Few weeks ago,7 - 9,Good,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,,,
114752803769.0,I Agree,Male,18-24 years,Ground Operations,Good,I am OK and coping well,,,,,,,,,Anxiety and Depression,,No,Yes,Not so often,Somewhat often,No,No,No,Yes,Few days ago,Few days ago,About half the time,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,My friends and family have helped me through every stressful moment in my life ,No
114752790645.0,I Agree,Male,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752753353.0,I Agree,Female,40-49 years,Flight Operations,Good,I’m just there,Home/work and finances,Work/job related stressors,,Financial constraints,,,Relationship Difficulties,,,,No,Yes,Somewhat often,Somewhat often,No,No,No,No,I don't remember,I don't remember,About half the time,I don't remember,4 - 6,Bad,Never,Never,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Pamphlets and nuggets,,Yes,No,Time constraints and work/life balance and pressures will not allow.,Yes
114751431167.0,I Agree,Female,40-49 years,Flight Operations,Good,I am not OK,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few weeks ago,7 - 9,Very Good,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,Yes,,No
114752712476.0,I Agree,Male,25-39 years,Ground Operations,Excellent,I am OK and coping well,Doing great 👍🏽,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,Toxic Supervisors or Line Managers,No,No,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few days ago,Most of the time,Few days ago,7 - 9,Very Good,Never,Never,I seek help from a processional counselor,"Engage my parents, siblings, fiancée, my small circle of friends and in some instances, my religious mentor ",Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,"Shift pattern demands, time constraints as well as demands of every day life balancing work & play can be challenging to engage in consistent sessions. Also, some outstations need to amplify these sessions consistently & productively.",No
114752703739.0,I Agree,Male,25-39 years,Flight Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752699125.0,I Agree,Male,25-39 years,Flight Operations,Very Good,I am OK and coping well,,,,,,,Relationship Difficulties,Unresolved Childhood Difficulties,,Behavioral addictions ,No,No,Not so often,Not so often,No,No,Yes,No,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I keep my issues to myself,Meditation ,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,Yes,Yes,,No
114752686948.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,Not Sure,Not at all,Not at all,No,No,No,No,Few days ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114752665235.0,I Agree,Male,40-49 years,Managing Director's Office,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,No,I had no issues warranting the services,No
114752607194.0,I Agree,Female,25-39 years,Commercial,Good,I am OK and coping well,,Work/job related stressors,,Financial constraints,Trauma,,,,,,Yes,Yes,Somewhat often,Not so often,No,No,No,Yes,Few months ago,Few days ago,Always,Few days ago,7 - 9,Very Good,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,One on One session,,No,,,Yes
114752287180.0,I Agree,Female,25-39 years,Ground Operations,Fair,I’m just there,Someone to talk to first perhaps a therapist,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,Anxiety and Depression,,No,Yes,Somewhat often,Not so often,No,No,Yes,Yes,Few days ago,I don't remember,Most of the time,Few days ago,7 - 9,Bad,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,No,Group session,,No,,,Yes
114752594634.0,I Agree,Male,25-39 years,Flight Operations,Fair,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,Unresolved Childhood Difficulties,,,No,Not Sure,Not so often,Not so often,No,No,No,No,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,OK,Never,Never,,,,,,,,,,
114752572223.0,I Agree,Female,50+ years,Commercial,Fair,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Never,I seek help from my religious leader,I pray most of the time during the night,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,,No
114752575945.0,I Agree,Male,50+ years,Cargo,Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,,No
114752563379.0,I Agree,Male,25-39 years,Commercial,Very Good,I am OK and coping well,Mental Health awareness class,Work/job related stressors,,,,,Relationship Difficulties,,,,No,Not Sure,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Good,Never,Once in a few weeks,I keep my issues to myself,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,I have it under control.,No
114752310620.0,I Agree,Male,25-39 years,Commercial,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,No,,,No
114752552229.0,I Agree,Male,50+ years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,health wellbeing,No,Not Sure,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,4 - 6,Good,Never,Once in a few weeks,I engage relatives and friends,talk to my wife,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,not sure,Yes,No,i dont need it,No
114752546485.0,I Agree,Female,40-49 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752532186.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,Trauma,,Relationship Difficulties,,,,Not Sure,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,I work out and engage my husband and or best friend ,Above average degree of social support (Given or potentially available from family and friends).,Yes,One on One session,,Yes,Yes,,Yes
114752528162.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,,,,,,,,,Anxiety and Depression,,Not Sure,No,Not at all,Not at all,No,No,Yes,Yes,Few days ago,Few days ago,Most of the time,I don't remember,4 - 6,Bad,Never,Never,I keep my issues to myself,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,No,,,No
114752520554.0,I Agree,Female,25-39 years,Commercial,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few days ago,Always,Few months ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,Yes,,No
114752521435.0,I Agree,Female,25-39 years,Flight Operations,Good,I am OK and coping well,-,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Not Sure,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,OK,Never,Once in a few weeks,I seek for available options online,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,No,It looks like a very tideous process. Also with the job I do finding time between normal office hours can be a challenge ,Yes
114752520533.0,I Agree,Male,40-49 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,Online,,Yes,No,had never had the need,No
114752506704.0,I Agree,Male,25-39 years,Commercial,Fair,I’m just there,,Work/job related stressors,,Financial constraints,Trauma,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Not Sure,Yes,Not so often,Not so often,No,Yes,No,Not Sure,Few days ago,Few days ago,Once in a while,Few days ago,4 - 6,OK,Never,Once in a few weeks,I seek help from a processional counselor,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,One on One session,,Yes,Yes,,No
